Name,Pick,Actual Pick
Isaiah Livers,34.18509,42.0
Sandro Mamukelashvili,34.125366,54.0
Corey Kispert,34.51126,15.0
Jericho Sims,35.199528,58.0
Davion Mitchell,12.72967,9.0
Luka Garza,29.721457,52.0
Herbert Jones,32.351543,35.0
Marcus Zegarowski,48.44227,49.0
Quentin Grimes,23.653637,25.0
Trey Murphy III,41.462906,17.0
Jason Preston,27.604565,33.0
Raiquan Gray,35.742233,59.0
Charles Bassey,14.52303,53.0
Dalano Banton,47.402344,46.0
Jared Butler,21.799818,40.0
Kessler Edwards,30.140833,44.0
Ayo Dosunmu,22.744898,38.0
Aaron Wiggins,32.285538,55.0
Joe Wieskamp,34.224377,41.0
Neemias Queta,31.120382,39.0
James Bouknight,27.048132,11.0
Franz Wagner,28.04302,8.0
David Johnson,44.76546,47.0
Nah'Shon Hyland,34.47022,26.0
Chris Duarte,18.895136,13.0
Tre Mann,33.369835,18.0
Scottie Lewis,38.898293,56.0
Santi Aldama,38.186466,30.0
Miles McBride,36.557346,36.0
Jeremiah Robinson-Earl,41.23401,32.0
Kai Jones,35.771503,19.0
Cade Cunningham,22.699368,1.0
Scottie Barnes,40.349785,4.0
Joshua Primo,38.195137,12.0
Josh Christopher,32.159157,24.0
Sharife Cooper,27.010021,48.0
Ziaire Williams,44.496536,10.0
Jalen Suggs,26.899656,5.0
Evan Mobley,23.644032,3.0
Moses Moody,27.392117,14.0
JT Thor,31.70848,37.0
Jalen Johnson,30.838146,20.0
Jaden Springer,35.871464,28.0
Cameron Thomas,28.232876,27.0
Day'Ron Sharpe,20.418951,29.0
Isaiah Jackson,28.648512,22.0
Greg Brown III,33.694614,43.0
Keon Johnson,39.03322,21.0
Brandon Boston Jr.,35.32485,51.0
